crimeID,neighborID,Freq
5,1,0.01
18,1,0.01
17,1,0.01
38,1,0.01
47,1,0.01
5,2,0.01
17,2,0.01
18,2,0.01
25,2,0.01
31,2,0.01
38,2,0.01
44,2,0.01
47,2,0.01
15,2,0.01
16,2,0.01
17,2,0.01
18,2,0.01
17,2,0.01
38,2,0.01
5,6,0.01
15,6,0.01
16,6,0.01
17,6,0.01
18,6,0.01
17,6,0.01
25,6,0.01
32,6,0.01
38,6,0.01
43,6,0.01
47,6,0.01
5,5,0.01
16,5,0.01
18,5,0.01
17,5,0.01
32,5,0.01
38,5,0.01
44,5,0.01
47,5,0.01
15,8,0.01
18,8,0.01
1,8,0.01
5,8,0.01
6,8,0.01
9,8,0.01
15,8,0.01
16,8,0.01
17,8,0.01
18,8,0.01
17,8,0.01
25,8,0.01
32,8,0.01
37,8,0.01
38,8,0.01
42,8,0.01
43,8,0.01
47,8,0.01
9,8,0.01
15,8,0.01
16,8,0.01
17,8,0.01
18,8,0.01
17,8,0.01
20,8,0.01
31,8,0.01
38,8,0.01
47,8,0.01
15,8,0.01
16,8,0.01
17,8,0.01
18,8,0.01
17,8,0.01
25,8,0.01
31,8,0.01
38,8,0.01
47,8,0.01
9,9,0.01
15,9,0.01
16,9,0.01
17,9,0.01
18,9,0.01
17,9,0.01
25,9,0.01
31,9,0.01
32,9,0.01
38,9,0.01
9,12,0.01
15,12,0.01
16,12,0.01
17,12,0.01
18,12,0.01
17,12,0.01
25,12,0.01
31,12,0.01
32,12,0.01
37,12,0.01
47,12,0.01
9,14,0.01
11,14,0.01
15,14,0.01
16,14,0.01
17,14,0.01
18,14,0.01
17,14,0.01
20,14,0.01
25,14,0.01
31,14,0.01
37,14,0.01
43,14,0.01
47,14,0.01
1,2,0.01
9,2,0.01
11,2,0.01
12,2,0.01
15,2,0.01
18,2,0.01
17,2,0.01
32,2,0.01
37,2,0.01
38,2,0.01
43,2,0.01
47,2,0.01
5,16,0.01
9,16,0.01
15,16,0.01
18,16,0.01
17,16,0.01
32,16,0.01
38,16,0.01
47,16,0.01
1,1,0.01
5,1,0.01
7,1,0.01
9,1,0.01
10,1,0.01
11,1,0.01
12,1,0.01
13,1,0.01
15,1,0.01
16,1,0.01
17,1,0.01
18,1,0.01
17,1,0.01
20,1,0.01
21,1,0.01
23,1,0.01
24,1,0.01
25,1,0.01
28,1,0.01
30,1,0.01
31,1,0.01
32,1,0.01
34,1,0.01
35,1,0.01
37,1,0.01
38,1,0.01
39,1,0.01
40,1,0.01
43,1,0.01
44,1,0.01
46,1,0.01
47,1,0.01
47,1,0.01
9,1,0.01
15,1,0.01
16,1,0.01
17,1,0.01
18,1,0.01
17,1,0.01
20,1,0.01
25,1,0.01
31,1,0.01
32,1,0.01
38,1,0.01
44,1,0.01
47,1,0.01
9,13,0.01
15,13,0.01
16,13,0.01
18,13,0.01
17,13,0.01
25,13,0.01
31,13,0.01
32,13,0.01
38,13,0.01
47,13,0.01
4,13,0.01
5,13,0.01
6,13,0.01
8,13,0.01
9,13,0.01
10,13,0.01
12,13,0.01
15,13,0.01
16,13,0.01
17,13,0.01
18,13,0.01
17,13,0.01
20,13,0.01
25,13,0.01
28,13,0.01
31,13,0.01
32,13,0.01
37,13,0.01
38,13,0.01
42,13,0.01
43,13,0.01
44,13,0.01
47,13,0.01
18,20,0.01
47,20,0.01
5,4,0.01
15,4,0.01
17,4,0.01
18,4,0.01
20,4,0.01
25,4,0.01
15,20,0.01
16,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
25,20,0.01
32,20,0.01
38,20,0.01
5,20,0.01
9,20,0.01
12,20,0.01
15,20,0.01
16,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
25,20,0.01
31,20,0.01
32,20,0.01
38,20,0.01
43,20,0.01
47,20,0.01
17,20,0.01
18,20,0.01
17,20,0.01
32,20,0.01
38,20,0.01
47,20,0.01
1,20,0.01
5,20,0.01
6,20,0.01
8,20,0.01
10,20,0.01
12,20,0.01
13,20,0.01
15,20,0.01
16,20,0.01
17,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
25,20,0.01
28,20,0.01
30,20,0.01
31,20,0.01
32,20,0.01
35,20,0.01
37,20,0.01
38,20,0.01
39,20,0.01
40,20,0.01
42,20,0.01
43,20,0.01
44,20,0.01
47,20,0.01
5,20,0.01
9,20,0.01
15,20,0.01
16,20,0.01
17,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
31,20,0.01
47,20,0.01
5,20,0.01
16,20,0.01
17,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
38,20,0.01
47,20,0.01
9,20,0.01
15,20,0.01
17,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
31,20,0.01
32,20,0.01
47,20,0.01
5,20,0.01
9,20,0.01
15,20,0.01
16,20,0.01
18,20,0.01
17,20,0.01
31,20,0.01
47,20,0.01
5,20,0.01
15,20,0.01
16,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
31,20,0.01
37,20,0.01
38,20,0.01
43,20,0.01
44,20,0.01
47,20,0.01
5,26,0.01
17,26,0.01
18,26,0.01
17,26,0.01
20,26,0.01
25,26,0.01
32,26,0.01
47,26,0.01
5,20,0.01
9,20,0.01
10,20,0.01
11,20,0.01
12,20,0.01
15,20,0.01
16,20,0.01
17,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
25,20,0.01
31,20,0.01
32,20,0.01
37,20,0.01
40,20,0.01
44,20,0.01
46,20,0.01
47,20,0.01
5,20,0.01
9,20,0.01
15,20,0.01
16,20,0.01
17,20,0.01
18,20,0.01
17,20,0.01
20,20,0.01
25,20,0.01
31,20,0.01
32,20,0.01
47,20,0.01
47,20,0.01
9,32,0.01
15,32,0.01
16,32,0.01
17,32,0.01
18,32,0.01
17,32,0.01
25,32,0.01
31,32,0.01
37,32,0.01
38,32,0.01
47,32,0.01
1,26,0.01
4,26,0.01
5,26,0.01
6,26,0.01
9,26,0.01
10,26,0.01
12,26,0.01
15,26,0.01
16,26,0.01
17,26,0.01
18,26,0.01
17,26,0.01
20,26,0.01
25,26,0.01
31,26,0.01
32,26,0.01
35,26,0.01
37,26,0.01
40,26,0.01
42,26,0.01
44,26,0.01
47,26,0.01
47,26,0.01
5,34,0.01
15,34,0.01
18,34,0.01
17,34,0.01
38,34,0.01
47,34,0.01
18,36,0.01
20,36,0.01
5,8,0.01
9,8,0.01
15,8,0.01
16,8,0.01
17,8,0.01
18,8,0.01
17,8,0.01
25,8,0.01
31,8,0.01
38,8,0.01
40,8,0.01
42,8,0.01
44,8,0.01
47,8,0.01
1,8,0.01
5,8,0.01
6,8,0.01
9,8,0.01
10,8,0.01
11,8,0.01
15,8,0.01
16,8,0.01
17,8,0.01
18,8,0.01
17,8,0.01
20,8,0.01
25,8,0.01
31,8,0.01
32,8,0.01
38,8,0.01
43,8,0.01
44,8,0.01
47,8,0.01
5,40,0.01
15,40,0.01
16,40,0.01
17,40,0.01
18,40,0.01
17,40,0.01
20,40,0.01
25,40,0.01
31,40,0.01
32,40,0.01
38,40,0.01
44,40,0.01
47,40,0.01
5,36,0.01
15,36,0.01
17,36,0.01
18,36,0.01
17,36,0.01
31,36,0.01
9,36,0.01
15,36,0.01
16,36,0.01
17,36,0.01
18,36,0.01
17,36,0.01
31,36,0.01
38,36,0.01
47,36,0.01
31,1,1
44,1,1
15,2,1
16,2,1
17,2,1
20,2,1
32,2,1
37,2,1
9,2,1
31,2,1
32,2,1
43,2,1
44,2,1
47,2,1
9,6,1
12,6,1
20,6,1
9,5,1
10,5,1
15,5,1
17,5,1
9,8,1
16,8,1
17,8,1
20,8,1
47,8,1
10,8,1
12,8,1
20,8,1
31,8,1
35,8,1
44,8,1
25,8,1
35,8,1
37,8,1
9,8,1
11,8,1
43,8,1
47,9,1
20,12,1
5,14,1
32,14,1
38,14,1
6,2,1
16,2,1
17,2,1
20,2,1
25,2,1
44,2,1
16,16,1
17,16,1
20,16,1
25,16,1
37,16,1
43,16,1
4,1,1
6,1,1
27,1,1
36,1,1
41,1,1
42,1,1
37,1,1
17,13,1
20,13,1
13,13,1
35,13,1
36,13,1
16,4,1
17,4,1
43,4,1
44,4,1
47,4,1
11,20,1
17,20,1
47,20,1
11,20,1
17,20,1
44,20,1
9,20,1
25,20,1
44,20,1
3,20,1
4,20,1
9,20,1
11,20,1
14,20,1
21,20,1
22,20,1
23,20,1
27,20,1
33,20,1
36,20,1
10,20,1
38,20,1
43,20,1
44,20,1
9,20,1
25,20,1
37,20,1
16,20,1
25,20,1
38,20,1
12,20,1
17,20,1
25,20,1
38,20,1
9,20,1
17,20,1
25,20,1
15,26,1
31,26,1
37,26,1
1,20,1
30,20,1
38,20,1
42,20,1
38,20,1
44,20,1
32,32,1
43,32,1
44,32,1
11,26,1
21,26,1
23,26,1
30,26,1
36,26,1
38,26,1
43,26,1
18,34,1
9,34,1
16,34,1
32,34,1
15,36,1
17,36,1
17,36,1
38,36,1
1,8,1
10,8,1
12,8,1
20,8,1
32,8,1
35,8,1
43,8,1
12,8,1
37,8,1
46,8,1
10,40,1
37,40,1
9,36,1
32,36,1
38,36,1
47,36,1
25,36,1
15,1,2
20,1,2
31,6,2
20,5,2
31,5,2
37,5,2
5,8,2
25,8,2
11,8,2
36,8,2
10,8,2
44,8,2
10,8,2
32,8,2
43,9,2
38,12,2
1,14,2
6,14,2
35,14,2
5,2,2
35,2,2
1,16,2
2,1,2
8,1,2
25,1,2
11,1,2
12,13,2
43,13,2
